plot_id,site_id,date,moisture_mass_fraction_nir,moisture_mass_fraction_oven,above_ground_dry_yield,starch_mass_fraction,protein_mass_fraction,adf_mass_fraction,ndf_mass_fraction
19EF0001,EF,2019-09-09,0.791657948,,3.033335112,0.211342052,0.071552649,0.308657948,0.461763246
19EF0002,EF,2019-09-09,0.776950549,,1.585617199,0.243148352,0.071475275,0.296574176,0.430049451
19EF0003,EF,2019-09-10,0.777106295,,2.109052501,0.224012384,0.077,0.30121259,0.414093911
19EF0004,EF,2019-09-10,0.777239583,,2.0882143,0.212944792,0.077847917,0.308359375,0.429751042
19EF0005,EF,2019-09-10,0.766973834,,2.000135306,0.251513083,0.075486917,0.287486917,0.390486917
19EF0006,EF,2019-09-10,0.766579787,,2.999578008,0.227420213,0.074,0.300579787,0.420159574
19EF0007,EF,2019-09-12,0.748746617,,1.994657222,0.290821648,0.071301353,0.26803444,0.37802091
19EF0008,EF,2019-09-12,0.773659208,,2.568235056,0.259465577,0.071443201,0.283761618,0.407966437
19EF0009,EF,2019-09-12,0.766657551,,1.916264964,0.276027348,0.070342449,0.282287753,0.393575505
19EF0010,EF,2019-09-12,0.778,,2.009548626,0.25589644,0.072,0.291524272,0.410048544
19EF0011,EF,2019-09-12,0.784330097,,1.952248455,0.249113269,0.073443366,0.3,0.422226537
19EF0012,EF,2019-09-12,0.771744125,,1.707326355,0.26,0.070627937,0.290116188,0.412488251
19EF0013,EF,2019-09-12,0.766755332,,1.815247536,0.269081556,0.071540778,0.285459222,0.402081556
19EF0014,EF,2019-09-12,0.79013089,,1.565696894,0.238492147,0.074753927,0.296507853,0.421884817
19EF0015,EF,2019-09-12,0.7829309,,1.625770284,0.253156454,0.073,0.295050847,0.408567145
19EF0016,EF,2019-09-12,0.770663158,,2.127469018,0.274636842,0.070457895,0.278784211,0.388278947
19EF0017,EF,2019-09-13,0.768483333,,1.627723255,0.254583333,0.076,0.281483333,0.381933333
19EF0018,EF,2019-09-13,0.772603,,2.220498794,0.243779,0.076,0.288015,0.39503
19EF0019,EF,2019-09-13,0.782342561,,1.842716074,0.232643599,0.07867128,0.296013841,0.406813149
19EF0020,EF,2019-09-13,0.771,,2.057259709,0.238495652,0.078,0.293626087,0.401878261
19EF0021,EF,2019-09-16,0.769,,2.327863378,0.259,0.069,0.287,0.415
19EF0022,EF,2019-09-16,0.756,,1.703576651,0.284,0.068,0.269,0.384
19EF0023,EF,2019-09-16,0.76540625,,2.565666899,0.269125,0.06853125,0.28,0.402875
19EF0024,EF,2019-09-16,0.75547901,,2.218184524,0.281041981,0.06847901,0.27047901,0.391958019
19EF0025,EF,2019-09-16,0.76757289,,2.662260847,0.273425405,0.068571185,0.278716965,0.3945763
19EF0026,EF,2019-09-16,0.759188865,,2.153961071,0.28564083,0.069,0.270585153,0.384962882
19EF0027,EF,2019-09-16,0.746575439,,2.115829311,0.292949708,0.068050292,0.265525146,0.383424561
19EF0028,EF,2019-09-16,0.737299595,,3.16806082,0.297744939,0.067477733,0.260388664,0.379910931
19EF0029,EF,2019-09-17,0.752,,2.03421465,0.292,0.071,0.265,0.374
