plot_id,row,range,y,x,z
001.01A,1,1,40.06193809,-88.20680603,604.84057
001.02A,1,2,40.06197958,-88.20680632,604.74928
001.03A,1,3,40.0620189,-88.20680601,604.63503
001.04A,1,4,40.06206292,-88.20680542,604.64347
001.05A,1,5,40.06210311,-88.20680511,604.57518
001.06A,1,6,40.06214476,-88.20680527,604.41992
001.07A,1,7,40.06218594,-88.20680581,604.49318
001.08A,1,8,40.06222755,-88.20680564,604.54313
001.09A,1,9,40.06226674,-88.20680502,604.63362
001.10A,1,10,40.06230829,-88.20680553,604.76654
001.11A,1,11,40.06235085,-88.20680605,604.74786
001.12A,1,12,40.06239307,-88.20680608,604.72799
001.13A,1,13,40.06243355,-88.20680612,604.71407
001.14A,1,14,40.06247368,-88.20680559,604.75109
001.15A,1,15,40.06251463,-88.20680537,604.75748
001.16A,1,16,40.06255613,-88.20680608,604.69141
001.17A,1,17,40.06259737,-88.20680579,604.71332
001.18A,1,18,40.06263854,-88.20680594,604.59153
001.19A,1,19,40.06267856,-88.20680555,604.42644
001.20A,1,20,40.06271971,-88.20680604,604.41601
001.21A,1,21,40.06276469,-88.20680592,604.30226
001.22A,1,22,40.06280323,-88.2068059,604.2242
001.23A,1,23,40.06284574,-88.20680599,604.26938
001.24A,1,24,40.0628857,-88.20680556,604.46383
001.25A,1,25,40.06292625,-88.20680552,604.39535
001.26A,1,26,40.06296753,-88.20680556,604.27838
005.01A,5,1,40.06193669,-88.20677177,604.72719
005.02A,5,2,40.0619767,-88.20677092,604.65314
005.03A,5,3,40.06201816,-88.20677097,604.55844
005.04A,5,4,40.06206065,-88.20677102,604.44739
005.05A,5,5,40.0621005,-88.20677103,604.60816
005.06A,5,6,40.06214108,-88.20677057,604.43442
005.07A,5,7,40.06218436,-88.20677088,604.43045
005.08A,5,8,40.06222413,-88.20677138,604.48193
005.09A,5,9,40.06226662,-88.20677078,604.61655
005.10A,5,10,40.0623058,-88.20677087,604.75809
