# These are copied from the output of the lidar height script,,,
# UTC-5,,,m
date,first_row,range,height
2019-06-25,61,7,0.15907094
2019-06-25,9,16,0.22470896
2019-06-25,121,6,0.21031337
2019-06-25,89,12,0.13911494
2019-06-25,73,17,0.10758948
2019-06-25,109,24,0.24935652
2019-06-25,157,14,0.21376869
2019-06-25,45,11,0.19560195
2019-06-25,5,5,0.19615374
2019-06-25,129,23,0.16546456
2019-06-25,9,7,0.1373418
2019-06-25,25,21,0.19810217
2019-06-25,125,2,0.16077949
2019-06-25,45,2,0.11575197
2019-06-25,77,17,0.14027248
2019-06-25,141,13,0.17554878
2019-06-25,137,1,0.12063245
2019-06-25,57,7,0.15088875
2019-06-25,41,15,0.20699737
2019-06-25,149,18,0.12967079
2019-06-25,57,10,0.15170259
2019-06-25,121,15,0.1460335
2019-06-25,25,7,0.26531724
2019-06-25,37,6,0.18908787
2019-06-25,121,7,0.21908144
2019-06-25,17,10,0.19260543
2019-06-25,13,20,0.18547647
2019-06-25,145,25,0.15716382
2019-06-25,29,12,0.21308048
2019-06-25,109,22,0.15950552
2019-06-25,125,13,0.12103133
2019-06-25,77,2,0.123902
2019-06-25,117,11,0.20993877
2019-06-25,5,22,0.24517057
2019-06-25,17,5,0.19526074
2019-06-25,129,19,0.15952268
2019-06-25,17,9,0.21449742
2019-06-25,9,23,0.19949729
2019-06-25,13,1,0.14173722
2019-06-25,121,17,0.15791076
2019-06-25,121,13,0.14091762
2019-06-25,9,10,0.19532128
2019-06-25,101,11,0.14109794
2019-06-25,17,3,0.19349582
2019-06-25,137,15,0.19094028
2019-06-25,137,8,0.15383683
2019-06-25,45,22,0.15783696
2019-06-25,33,3,0.21505886
2019-06-25,153,2,0.1724106
2019-06-25,37,24,0.45659754
2019-06-25,97,11,0.25897514
2019-06-25,129,7,0.20155679
2019-06-25,85,25,0.17298306
2019-06-25,9,8,0.17959999
2019-06-25,77,21,0.20123115
2019-06-25,45,21,0.11968848
2019-06-25,37,22,0.18957356
2019-06-25,101,23,0.1297291
2019-06-25,5,12,0.2039511
2019-06-25,105,1,0.11601582
2019-06-25,101,19,0.17154475
2019-06-25,125,7,0.19406602
2019-06-25,5,18,0.19611103
2019-06-25,9,3,0.1443333
2019-06-25,97,14,0.15048975
2019-06-25,153,22,0.16872226
2019-06-25,129,9,0.1733763
2019-06-25,65,2,0.10600665
2019-06-25,157,16,0.18354346
2019-06-25,25,16,0.2029713
2019-06-25,133,11,0.17009033
2019-06-25,53,2,0.12838696
2019-06-25,81,8,0.11351289
2019-06-25,141,21,0.13331199
2019-06-25,109,9,0.18356989
2019-06-25,145,22,0.20460476
2019-06-25,117,18,0.15067471
2019-06-25,57,23,0.15151214
2019-06-25,105,26,0.15459368
2019-06-25,97,3,0.14038849
2019-06-25,85,5,0.16779846
2019-06-25,145,26,0.17498088
2019-06-25,149,3,0.8646526
2019-06-25,41,10,0.15490129
2019-06-25,25,4,0.1747446
2019-06-25,81,19,0.10412232
2019-06-25,149,8,0.72681063
2019-06-25,73,1,0.11531105
2019-06-25,153,9,0.17712214
