# These are copied from the output of the lidar_lai repository.,,,
# UTC-5,,,dimensionless
date,first_row,range,lai
2018-06-14,61,7,0.024809
2018-06-14,101,28,0.141681
2018-06-14,9,16,0.01202
2018-06-14,121,6,0.026711
2018-06-14,89,12,0.010123
2018-06-14,73,17,0.070082
2018-06-14,0,13,0.007423
2018-06-14,109,24,0.036075
2018-06-14,45,11,0.016174
2018-06-14,5,5,0.09064
2018-06-14,129,23,0.009543
2018-06-14,9,7,0.024502
2018-06-14,25,21,0.021442
2018-06-14,125,2,0.01588
2018-06-14,45,2,0.021149
2018-06-14,77,17,0.058737
2018-06-14,141,13,0.010801
2018-06-14,57,7,0.027925
2018-06-14,41,15,0.03498
2018-06-14,57,10,0.058709
2018-06-14,121,15,0.030817
2018-06-14,25,7,0.010766
2018-06-14,37,6,0.112778
2018-06-14,121,7,0.038034
2018-06-14,17,10,0.017586
2018-06-14,13,20,0.037178
2018-06-14,29,12,0.09137
2018-06-14,0,14,0.006179
2018-06-14,109,22,0.017304
2018-06-14,125,13,0.0116
2018-06-14,77,2,0.019889
2018-06-14,69,28,0.033698
2018-06-14,117,11,0.063938
2018-06-14,5,22,0.050628
2018-06-14,17,5,0.008683
2018-06-14,129,19,0.00919
2018-06-14,17,9,0.034285
2018-06-14,9,23,0.028334
2018-06-14,13,1,0.016099
2018-06-14,121,17,0.061589
2018-06-14,121,13,0.018891
2018-06-14,9,10,0.021587
2018-06-14,101,11,0.014475
2018-06-14,17,3,0.017152
2018-06-14,137,15,0.020104
2018-06-14,137,8,0.024369
2018-06-14,45,22,0.029193
2018-06-14,33,3,0.017155
2018-06-14,0,6,0.017002
2018-06-14,37,24,0.025908
2018-06-14,97,11,0.021064
2018-06-14,129,7,0.044112
2018-06-14,85,25,0.014644
2018-06-14,9,8,0.074925
2018-06-14,77,21,0.029876
2018-06-14,45,21,0.036531
2018-06-14,37,22,0.090322
2018-06-14,101,23,0.007932
2018-06-14,5,12,0.021353
2018-06-14,101,19,0.017666
2018-06-14,125,7,0.018641
2018-06-14,77,29,0.045473
2018-06-14,5,18,0.012053
2018-06-14,9,3,0.066151
2018-06-14,97,14,0.023993
