Row,Range,Score ,Notes
0,1,0,
0,2,0,
0,3,0,
0,4,0,
0,5,0,
0,6,0,
0,7,2,
0,8,0,
0,9,0,
0,10,0,
0,11,0,
0,12,0,
0,13,0,
0,14,1,
0,15,0,
0,16,0,
0,17,0,
0,18,0,
0,19,1,
0,20,1,
0,21,0,
0,22,1,
0,23,0,
0,24,0,
0,25,0,
0,26,0,
1,1,0,
1,2,0,
1,3,1,
1,4,0,
1,5,1,
1,6,0,
1,7,2,
1,8,0,
1,9,3,
1,10,0,
1,11,1,
1,12,0,
1,13,0,
1,14,0,
1,15,1,
1,16,0,
1,17,0,
1,18,0,
1,19,0,
1,20,0,
1,21,3,
1,22,3,
1,23,1,
1,24,0,
1,25,0,
1,26,0,
5,1,0,
5,2,0,
5,3,0,
5,4,0,
5,5,0,
5,6,0,
5,7,0,Tractor damaged
5,8,NA,Tractor damaged
5,9,NA,Tractor damaged
5,10,3,
5,11,1,
5,12,0,
5,13,0,
5,14,0,
5,15,1,
5,16,0,
5,17,0,
5,18,0,
5,19,0,
5,20,1,
5,21,1,
5,22,0,
5,23,1,
5,24,0,
5,25,0,only half of the plot biomass weighed
5,26,0,NA biomass
9,1,0,
9,2,0,
9,3,0,
9,4,0,
9,5,0,
9,6,0,
9,7,0,
9,8,1,
9,9,0,
9,10,0,
9,11,0,
9,12,2,
9,13,0,
9,14,0,
9,15,0,
9,16,0,
9,17,0,
9,18,0,
9,19,0,
9,20,0,
9,21,0,
9,22,0,
9,23,0,
9,24,0,
9,25,0,
9,26,0,NA Biomass
13,1,0,
13,2,0,
13,3,0,
13,4,0,
13,5,0,
13,6,0,
13,7,0,
13,8,5,
13,9,0,
13,10,0,
13,11,0,
13,12,0,
13,13,0,
13,14,1,
13,15,1,
13,16,0,
13,17,0,
13,18,1,
13,19,0,
13,20,1,
13,21,0,
13,22,0,
13,23,0,
13,24,0,
13,25,0,
13,26,0,
17,1,0,
17,2,0,
17,3,0,
17,4,0,
17,5,4,
17,6,0,
17,7,0,
17,8,2,
17,9,0,
17,10,0,
17,11,0,
17,12,1,
17,13,0,
17,14,1,
17,15,1,
17,16,0,
17,17,0,
17,18,1,
17,19,1,
17,20,1,
17,21,0,
17,22,0,
17,23,0,
17,24,2,
17,25,0,
17,26,0,
21,1,0,
21,2,0,
21,3,0,
21,4,0,
21,5,1,
21,6,3,
21,7,3,
21,8,0,
21,9,0,
21,10,0,
21,11,0,
21,12,0,
21,13,1,
21,14,0,
21,15,1,
21,16,1,
21,17,0,
21,18,0,
21,19,0,
21,20,0,
21,21,0,
21,22,0,
21,23,0,
21,24,2,
21,25,1,
21,26,0,
25,1,0,
25,2,0,
25,3,0,
25,4,3,
25,5,2,
25,6,3,
25,7,1,
25,8,3,
25,9,1,
25,10,1,
25,11,1,
25,12,3,
25,13,2,
25,14,0,
25,15,0,
25,16,0,
25,17,0,
25,18,0,
25,19,0,
25,20,0,
25,21,0,
25,22,2,collected some plant debris
25,23,1,
25,24,0,
25,25,0,
25,26,0,
29,1,0,
29,2,0,
29,3,0,
29,4,3,
29,5,0,
29,6,2,
29,7,0,
29,8,2,
29,9,2,
29,10,4,missed some plants
29,11,1,
29,12,1,
29,13,0,
29,14,1,
29,15,0,
29,16,0,
29,17,2,
29,18,0,
29,19,0,
29,20,0,
29,21,0,
29,22,0,
29,23,0,
29,24,0,
29,25,1,
29,26,0,
33,1,0,
33,2,0,
33,3,0,
33,4,2,
33,5,0,
33,6,0,
33,7,0,
33,8,0,
33,9,1,
33,10,0,
33,11,0,
