ID	Lodging	Grade	Area	Severity	Score	PLOTID
1	no					
2	no					
3	no					
4	no					
5	no					
6	no					
7	no					
8	no					
9	no					
10	no					
11	no					
12	no					
13	no					
14	no					
15	no					
16	no					
17	no					
18	no					
19	no					
20	no					
21	no					
22	no					
23	no					
24	no					
25	no					
26	no					
27	no					
28	no					
29	no					
30	no					
31	no					
32	no					
33	no					
34	no					
35	no					
36	no					
37	no					
38	no					
39	no					
40	no					
41	no					
42	no					
43	no					
44	no					
45	no					19EF0001
46	yes	H	90	3	90	19EF0002
47	yes	L	100	1	33.33	19EF0003
48	yes	L	90	1	30	19EF0004
49	no					19EF0005
50	no					19EF0006
51	no					19EF0007
52	no					19EF0008
53	no					19EF0009
54	no					19EF0010
55	no					19EF0011
56	no					19EF0012
57	no					19EF0013
58	no					19EF0014
59	no					19EF0015
60	no					19EF0016
61	no					19EF0017
62	no					19EF0018
63	yes	L	40	1	13.33	19EF0019
64	no					19EF0020
65	no					19EF0021
66	no					19EF0022
67	no					19EF0023
68	yes	L	20	1	6.67	19EF0024
69	yes	L	70	1	23.33	19EF0025
70	yes	H	80	3	80	19EF0026
71	yes	H	50	3	50	19EF0027
72	yes	H	60	3	60	19EF0028
73	yes	H	60	3	60	19EF0029
74	no					19EF0030
75	yes	H	80	3	80	19EF0031
76	yes	M	70	2	46.67	19EF0032
77	no					19EF0033
78	yes	L	70	1	23.33	19EF0034
79	no					19EF0035
80	no					19EF0036
81	no					19EF0037
82	yes	M	70	2	46.67	19EF0038
83	no					19EF0039
84	yes	H	90	3	90	19EF0040
85	yes	H	40	3	40	
86	no					
87	no					
88	yes	H	80	3	80	19EF0080
89	yes	M	40	2	26.67	19EF0079
90	no					19EF0078
91	no					19EF0077
92	no					19EF0076
93	no					19EF0075
94	no					19EF0074
95	no					19EF0073
96	yes	L	40	1	13.33	19EF0072
97	no					19EF0071
98	no					19EF0070
99	yes	L	60	1	20	19EF0069
100	no					19EF0068
101	no					19EF0067
102	no					19EF0066
103	no					19EF0065
104	no					19EF0064
105	no					19EF0063
106	no					19EF0062
107	no					19EF0061
108	no					19EF0060
109	yes	M	90	2	60	19EF0059
110	no					19EF0058
111	no					19EF0057
112	yes	M	80	2	53.33	19EF0056
113	yes	M	90	2	60	19EF0055
114	yes	M	90	2	60	19EF0054
115	yes	H	50	3	50	19EF0053
116	yes	H	70	3	70	19EF0052
117	no					19EF0051
118	yes	M	70	2	46.67	19EF0050
119	yes	H	70	3	70	19EF0049
120	yes	L	50	1	16.67	19EF0048
121	no					19EF0047
122	yes	L	70	1	23.33	19EF0046
123	no					19EF0045
124	no					19EF0044
125	no					19EF0043
126	yes	H	50	3	50	19EF0042
127	no					19EF0041
128	yes	L	50	1	16.67	
129	yes	L	50	1	16.67	
130	yes	L	70	1	23.33	
131	no					19EF0081
132	yes	L	40	1	13.33	19EF0082
133	yes	L	30	1	10	19EF0083
134	no					19EF0084
135	no					19EF0085
136	no					19EF0086
137	yes	H	60	3	60	19EF0087
138	yes	H	90	3	90	19EF0088
139	yes	M	100	2	66.67	19EF0089
140	yes	M	60	2	40	19EF0090
141	no					19EF0091
142	no					19EF0092
143	yes	L	50	1	16.67	19EF0093
144	no					19EF0094
145	no					19EF0095
146	yes	M	100	2	66.67	19EF0096
147	yes	M	80	2	53.33	19EF0097
148	yes	M	90	2	60	19EF0098
149	no					19EF0099
150	yes	L	90	1	30	19EF0100
151	no					19EF0101
152	yes	M	90	2	60	19EF0102
153	yes	H	90	3	90	19EF0103
154	yes	H	80	3	80	19EF0104
155	yes	M	70	2	46.67	19EF0105
156	yes	M	80	2	53.33	19EF0106
157	yes	L	80	1	26.67	19EF0107
158	no					19EF0108
159	yes	H	90	3	90	19EF0109
160	yes	H	80	3	80	19EF0110
161	yes	H	90	3	90	19EF0111
162	yes	H	90	3	90	19EF0112
163	yes	M	100	2	66.67	19EF0113
164	yes	H	90	3	90	19EF0114
165	yes	H	100	3	100	19EF0115
166	yes	M	50	2	33.33	19EF0116
167	yes	M	100	2	66.67	19EF0117
168	yes	M	100	2	66.67	19EF0118
169	yes	M	100	2	66.67	19EF0119
170	no					19EF0120
171	no					
172	yes	L	80	1	26.67	
173	no					
174	yes	M	80	2	53.33	19EF0160
175	yes	L	100	1	33.33	19EF0159
176	no					19EF0158
177	no					19EF0157
178	yes	H	100	3	100	19EF0156
179	yes	M	90	2	60	19EF0155
180	yes	H	100	3	100	19EF0154
181	yes	H	80	3	80	19EF0153
182	no					19EF0152
183	no					19EF0151
184	no					19EF0150
185	no					19EF0149
186	no					19EF0148
187	no					19EF0147
188	yes	L	90	1	30	19EF0146
189	yes	L	100	1	33.33	19EF0145
190	yes	L	100	1	33.33	19EF0144
191	yes	L	100	1	33.33	19EF0143
192	no					19EF0142
193	no					19EF0141
194	no					19EF0140
195	yes	M	100	2	66.67	19EF0139
196	yes	H	100	3	100	19EF0138
197	yes	H	100	3	100	19EF0137
198	yes	M	100	2	66.67	19EF0136
199	yes	M	90	2	60	19EF0135
200	yes	L	90	1	30	19EF0134
201	yes	M	80	2	53.33	19EF0133
202	yes	H	90	3	90	19EF0132
203	yes	H	100	3	100	19EF0131
204	yes	L	80	1	26.67	19EF0130
205	yes	H	80	3	80	19EF0129
206	yes	M	100	2	66.67	19EF0128
207	yes	H	95	3	95	19EF0127
208	yes	H	100	3	100	19EF0126
209	no					19EF0125
210	yes	M	80	2	53.33	19EF0124
211	yes	H	90	3	90	19EF0123
212	no					19EF0122
213	yes	M	80	2	53.33	19EF0121
214	yes	L	80	1	26.67	
215	no					
216	no					
217	no					19EF0161
218	no					19EF0162
219	no					19EF0163
220	no					19EF0164
221	yes	M	90	2	60	19EF0165
222	yes	H	100	3	100	19EF0166
223	yes	M	100	2	66.67	19EF0167
224	yes	M	90	2	60	19EF0168
225	no					19EF0169
226	yes	H	90	3	90	19EF0170
227	no					19EF0171
228	no					19EF0172
229	no					19EF0173
230	no					19EF0174
231	yes	M	60	2	40	19EF0175
232	yes	M	100	2	66.67	19EF0176
233	yes	M	80	2	53.33	19EF0177
234	no					19EF0178
235	no					19EF0179
236	yes	H	80	3	80	19EF0180
237	no					19EF0181
238	yes	M	60	2	40	19EF0182
239	yes	L	80	1	26.67	19EF0183
240	yes	H	100	3	100	19EF0184
241	yes	M	80	2	53.33	19EF0185
242	no					19EF0186
243	yes	M	100	2	66.67	19EF0187
244	no					19EF0188
245	no					19EF0189
246	yes	M	90	2	60	19EF0190
247	yes	H	90	3	90	19EF0191
248	yes	H	100	3	100	19EF0192
249	yes	H	90	3	90	19EF0193
250	yes	H	100	3	100	19EF0194
251	yes	H	90	3	90	19EF0195
252	yes	M	80	2	53.33	19EF0196
253	yes	M	60	2	40	19EF0197
254	yes	H	90	3	90	19EF0198
255	no					19EF0199
256	yes	M	70	2	46.67	19EF0200
257	yes	M	70	2	46.67	
258	yes	M	70	2	46.67	
259	yes	L	80	1	26.67	
260	yes	H	70	3	70	19EF0240
261	yes	H	10	3	10	19EF0239
262	no					19EF0238
263	yes	L	100	1	33.33	19EF0237
264	yes	M	80	2	53.33	19EF0236
265	yes	H	90	3	90	19EF0235
266	yes	M	90	2	60	19EF0234
267	no					19EF0233
268	no					19EF0232
269	no					19EF0231
270	no					19EF0230
271	no					19EF0229
272	no					19EF0228
273	no					19EF0227
274	yes	L	80	1	26.67	19EF0226
275	no					19EF0225
276	yes	L	80	1	26.67	19EF0224
277	no					19EF0223
278	no					19EF0222
279	no					19EF0221
280	yes	H	70	3	70	19EF0220
281	yes	H	60	3	60	19EF0219
282	yes	M	80	2	53.33	19EF0218
283	no					19EF0217
284	yes	M	90	2	60	19EF0216
285	yes	M	80	2	53.33	19EF0215
286	yes	M	60	2	40	19EF0214
287	no					19EF0213
288	yes	M	90	2	60	19EF0212
289	yes	M	100	2	66.67	19EF0211
290	yes	M	100	2	66.67	19EF0210
291	yes	H	90	3	90	19EF0209
292	yes	H	100	3	100	19EF0208
293	yes	H	100	3	100	19EF0207
294	yes	H	90	3	90	19EF0206
295	yes	H	90	3	90	19EF0205
296	yes	H	100	3	100	19EF0204
297	yes	H	100	3	100	19EF0203
298	yes	H	90	3	90	19EF0202
299	no					19EF0201
300	yes	H	100	3	100	
301	yes	H	60	3	60	
302	yes	L	80	1	26.67	
303	yes	L	100	1	33.33	19EF0241
304	yes	M	60	2	40	19EF0242
305	no					19EF0243
306	yes	H	100	3	100	19EF0244
307	yes	H	80	3	80	19EF0245
308	yes	L	80	1	26.67	19EF0246
309	yes	H	100	3	100	19EF0247
310	yes	M	80	2	53.33	19EF0248
311	no					19EF0249
312	no					19EF0250
313	no					19EF0251
314	no					19EF0252
315	no					19EF0253
316	no					19EF0254
317	no					19EF0255
318	no					19EF0256
319	yes	M	90	2	60	19EF0257
320	no					19EF0258
321	yes	M	80	2	53.33	19EF0259
322	yes	M	90	2	60	19EF0260
323	yes	M	90	2	60	19EF0261
324	yes	H	90	3	90	19EF0262
325	yes	H	100	3	100	19EF0263
326	yes	M	70	2	46.67	19EF0264
327	yes	H	100	3	100	19EF0265
328	yes	H	100	3	100	19EF0266
329	yes	H	100	3	100	19EF0267
330	yes	M	100	2	66.67	19EF0268
331	yes	H	100	3	100	19EF0269
332	yes	H	90	3	90	19EF0270
333	yes	L	80	1	26.67	19EF0271
334	yes	M	95	2	63.33	19EF0272
335	yes	L	95	1	31.67	19EF0273
336	yes	M	90	2	60	19EF0274
337	no					19EF0275
338	yes	M	90	2	60	19EF0276
339	yes	H	80	3	80	19EF0277
340	yes	H	100	3	100	19EF0278
341	yes	H	100	3	100	19EF0279
342	yes	H	100	3	100	19EF0280
343	yes	H	90	3	90	
344	yes	M	60	2	40	
345	no					
346	yes	M	90	2	60	19EF0320
347	yes	H	100	3	100	19EF0319
348	no					19EF0318
349	no					19EF0317
350	no					19EF0316
351	no					19EF0315
352	no					19EF0314
353	yes	M	80	2	53.33	19EF0313
354	yes	L	80	1	26.67	19EF0312
355	no					19EF0311
356	no					19EF0310
357	no					19EF0309
358	no					19EF0308
359	no					19EF0307
360	yes	H	80	3	80	19EF0306
361	no					19EF0305
362	no					19EF0304
363	no					19EF0303
364	yes	H	70	3	70	19EF0302
365	yes	M	90	2	60	19EF0301
366	yes	L	80	1	26.67	19EF0300
367	no					19EF0299
368	yes	H	90	3	90	19EF0298
369	yes	H	100	3	100	19EF0297
370	no					19EF0296
371	yes	H	90	3	90	19EF0295
372	yes	H	80	3	80	19EF0294
373	no					19EF0293
374	yes	L	90	1	30	19EF0292
375	yes	M	100	2	66.67	19EF0291
376	yes	L	80	1	26.67	19EF0290
377	yes	H	90	3	90	19EF0289
378	yes	H	100	3	100	19EF0288
379	yes	H	100	3	100	19EF0287
380	yes	M	90	2	60	19EF0286
381	yes	M	100	2	66.67	19EF0285
382	yes	H	100	3	100	19EF0284
383	yes	H	100	3	100	19EF0283
384	yes	L	80	1	26.67	19EF0282
385	yes	H	100	3	100	19EF0281
386	yes	H	70	3	70	
387	no					
388	no					
389	no					19EF0321
390	yes	M	90	2	60	19EF0322
391	no					19EF0323
392	yes	M	80	2	53.33	19EF0324
393	no					19EF0325
394	no					19EF0326
395	no					19EF0327
396	yes	M	90	2	60	19EF0328
397	no					19EF0329
398	no					19EF0330
399	no					19EF0331
400	yes	M	80	2	53.33	19EF0332
401	no					19EF0333
402	no					19EF0334
403	no					19EF0335
404	no					19EF0336
405	no					19EF0337
406	no					19EF0338
407	no					19EF0339
408	yes	M	60	2	40	19EF0340
409	yes	M	60	2	40	19EF0341
410	yes	M	70	2	46.67	19EF0342
411	yes	M	40	2	26.67	19EF0343
412	yes	M	70	2	46.67	19EF0344
413	yes	M	80	2	53.33	19EF0345
414	no					19EF0346
415	no					19EF0347
416	no					19EF0348
417	no					19EF0349
418	no					19EF0350
419	yes	H	50	3	50	19EF0351
420	no					19EF0352
421	no					19EF0353
422	yes	H	80	3	80	19EF0354
423	no					19EF0355
424	no					19EF0356
425	no					19EF0357
426	yes	M	90	2	60	19EF0358
427	yes	M	100	2	66.67	19EF0359
428	yes	M	100	2	66.67	19EF0360
429	yes	H	100	3	100	
430	yes	H	70	3	70	
431	yes	M	90	2	60	
432	yes	L	80	1	26.67	19EF0400
433	yes	M	80	2	53.33	19EF0399
434	no					19EF0398
435	no					19EF0397
436	no					19EF0396
437	no					19EF0395
438	yes	M	90	2	60	19EF0394
439	yes	M	100	2	66.67	19EF0393
440	no					19EF0392
441	yes	M	100	2	66.67	19EF0391
442	yes	H	90	3	90	19EF0390
443	yes	M	90	2	60	19EF0389
444	yes	M	80	2	53.33	19EF0388
445	no					19EF0387
446	no					19EF0386
447	yes	H	70	3	70	19EF0385
448	no					19EF0384
449	no					19EF0383
450	yes	H	80	3	80	19EF0382
451	yes	M	80	2	53.33	19EF0381
452	no					19EF0380
453	no					19EF0379
454	yes	M	60	2	40	19EF0378
455	no					19EF0377
456	no					19EF0376
457	no					19EF0375
458	no					19EF0374
459	no					19EF0373
460	yes	M	70	2	46.67	19EF0372
461	no					19EF0371
462	no					19EF0370
463	no					19EF0369
464	no					19EF0368
465	no					19EF0367
466	yes	H	60	3	60	19EF0366
467	yes	H	100	3	100	19EF0365
468	yes	H	70	3	70	19EF0364
469	yes	M	80	2	53.33	19EF0363
470	no					19EF0362
471	yes	H	90	3	90	19EF0361
472	yes	H	90	3	90	
473	no					
474	no					
475	no					19EF0401
476	no					19EF0402
477	yes	H	70	3	70	19EF0403
