RecID,Row,Range,N Obs,Sum_lbs
5369,1,1,2,137.2
5370,1,2,2,246.2
5371,1,3,2,238
5372,1,4,2,207.4
5373,1,5,2,258.8
5374,1,6,2,234.6
5375,1,7,2,247.6
5376,1,8,2,240.2
5377,1,9,2,206.2
5378,1,10,2,157.8
5379,1,11,2,237.8
5380,1,12,2,173
5381,1,13,2,168.2
5382,1,14,2,224.8
5383,1,15,2,276.8
5384,1,16,2,207
5385,1,17,2,253.2
5386,1,18,2,314
5387,1,19,2,158
5388,1,20,2,229.6
5389,1,21,2,144
5390,1,22,2,234.6
5391,1,23,2,252.6
5392,1,24,2,210.6
5393,1,25,2,243.6
5394,1,26,2,231.6
5395,5,26,2,227.4
5396,5,25,2,166
5397,5,24,2,163.8
5398,5,23,2,180.4
5399,5,22,2,164.8
5400,5,21,2,178.6
5401,5,20,2,256.4
5402,5,19,2,148
5403,5,18,2,129.4
5404,5,17,2,178.2
5405,5,16,2,210
5406,5,15,2,194.8
5407,5,14,2,166.4
5408,5,13,2,174.6
5409,5,12,2,159.6
5410,5,11,2,151.2
5411,5,10,2,227.6
5412,5,9,2,185.2
5413,5,8,2,198.8
5414,5,7,2,207.4
5415,5,6,2,100.6
5416,5,5,2,237
5417,5,4,2,226.2
5418,5,3,2,228
5419,5,2,2,298.2
5420,5,1,2,175.2
5421,9,1,2,184.8
5422,9,2,2,145.6
5423,9,3,2,178.4
5424,9,4,2,296.2
5425,9,5,2,213.6
5426,9,6,2,212
5427,9,7,2,185
5428,9,8,2,215.8
5429,9,9,2,176.6
5430,9,10,2,196.6
5431,9,11,2,183
5432,9,12,2,215.4
5433,9,13,2,254.4
5434,9,14,2,221.2
5435,9,15,2,203.8
5436,9,16,2,221
5437,9,17,2,229.4
5438,9,18,2,226
5439,9,19,2,230.6
5440,9,20,2,156
5441,9,21,2,182.6
5442,9,22,2,211.4
5443,9,23,2,314.4
5444,9,24,2,243.8
5445,9,25,2,178.4
5446,9,26,2,93
5447,13,26,2,197
5448,13,25,2,244.4
5449,13,24,2,143.6
5450,13,23,2,158.2
5451,13,22,2,165.2
5452,13,21,2,236.2
5453,13,20,2,171.4
5454,13,19,2,226.8
5455,13,18,2,206
5456,13,17,2,196.8
5457,13,16,2,185.2
5458,13,15,2,230.6
5459,13,14,2,302.8
5460,13,13,2,213
5461,13,12,2,166
5462,13,11,2,230.2
5463,13,10,2,227.4
5464,13,9,2,216.6
5465,13,8,2,214
5466,13,7,2,220.4
5467,13,6,2,212.4
5468,13,5,2,166.6
5469,13,4,2,192.4
5470,13,3,2,210.8
5471,13,2,2,193.8
5472,13,1,2,145.2
5473,17,1,2,175.4
5474,17,2,2,192
5475,17,3,2,242.6
5476,17,4,2,251.6
5477,17,5,2,198.8
5478,17,6,2,181
5479,17,7,2,255.2
5480,17,8,2,171.6
5481,17,9,2,236
5482,17,10,2,216.2
5483,17,11,2,207.8
5484,17,12,2,166
5485,17,13,2,248.8
5486,17,14,2,228
5487,17,15,2,169.6
5488,17,16,2,237.6
5489,17,17,2,194.8
5490,17,18,2,319.4
5491,17,19,2,270.8
5492,17,20,2,175.4
5493,17,21,2,205.6
5494,17,22,2,195.6
5495,17,23,2,203.8
5496,17,24,2,206.4
5497,17,25,2,213.8
5498,21,26,2,202.4
5499,21,25,2,211
5500,21,24,2,194.4
5501,21,23,2,271.8
5502,21,22,2,205.4
5503,21,21,2,298.8
5504,21,20,2,155.2
5505,21,19,2,154.4
5506,21,18,2,178
5507,21,17,2,179.2
5508,21,16,2,204.2
5509,21,15,2,231.4
5510,21,14,2,208
5511,21,13,2,236.4
5512,21,12,2,189.4
5513,21,11,2,202.6
5514,21,10,2,164.8
5515,21,9,2,224.4
5516,21,8,2,180
5517,21,7,2,170.8
5518,21,6,2,208
5519,21,5,2,187.6
5520,21,4,2,178
5521,21,3,2,207.8
5522,21,2,2,175.8
5523,21,1,2,209.4
5524,25,1,2,223.2
5525,25,2,2,263.2
5526,25,3,2,197
5527,25,4,2,226.2
5528,25,5,2,191.2
5529,25,6,2,257.6
5530,25,7,2,179.6
5531,25,8,2,188.4
5532,25,9,2,233
5533,25,10,2,213
5534,25,11,2,264.2
5535,25,12,2,252.2
5536,25,13,2,187.2
5537,25,14,2,222
5538,25,15,2,244.4
5539,25,16,2,239
5540,25,17,2,219.8
5541,25,18,2,240.6
5542,25,19,2,233.6
5543,25,20,2,262.4
5544,25,21,2,168.4
5545,25,22,2,321.2
5546,25,23,1,190.6
5547,25,24,1,173.6
5548,25,25,1,181.6
5549,25,26,1,194.6
5550,29,26,2,198.6
5551,29,25,2,238.2
5552,29,24,2,188.4
5553,29,23,2,244.6
5554,29,22,2,143.6
5555,29,21,2,394.4
5556,29,20,2,230.8
5557,29,19,2,198.8
5558,29,18,2,280.8
5559,29,17,2,170.6
5560,29,16,2,198.2
5561,29,15,2,148.4
5562,29,14,2,203.4
5563,29,13,2,203.6
5564,29,12,2,157.6
5565,29,11,2,224.4
5566,29,10,2,181.2
5567,29,9,2,177
5568,29,8,2,177
5569,29,7,2,246.2
5570,29,6,2,173.6
5571,29,5,2,269
5572,29,4,2,163.2
5573,29,3,2,281.8
5574,29,2,2,162.6
5575,29,1,2,151.2
5576,33,1,2,258.6
5577,33,2,2,232.4
5578,33,3,2,166.8
5579,33,4,2,201.6
5580,33,5,2,171.6
5581,33,6,2,202
5582,33,7,2,186.6
5583,33,8,2,219
5584,33,9,2,342.2
5585,33,10,2,135
5586,33,11,2,214.2
5587,33,12,2,262.2
5588,33,13,2,200.2
5589,33,14,2,237.4
5590,33,15,2,248
5591,33,16,2,167
5592,33,17,2,343.2
5593,33,18,2,198.4
5594,33,19,2,216.8
5595,33,20,2,310
5596,33,21,2,208.2
5597,33,22,2,241
5598,33,23,2,165.8
5599,33,24,2,181.2
5600,33,25,2,181.8
5601,33,26,2,252.8
5602,37,26,2,19.6
5603,37,25,2,191.4
5604,37,24,2,152.6
5605,37,23,2,192.8
5606,37,22,2,164.2
5607,37,21,2,208
5608,37,20,2,293.4
5609,37,19,2,183.4
5610,37,18,2,235.4
5611,37,17,2,197.6
5612,37,16,2,206.2
5613,37,15,2,234.2
5614,37,14,2,268.4
5615,37,13,2,256.6
5616,37,12,2,218.8
5617,37,11,2,164.2
5618,37,10,2,214.4
5619,37,9,2,178
5620,37,8,2,219.4
5621,37,7,2,191
5622,37,6,2,172.4
5623,37,5,2,186.2
5624,37,4,2,180.4
5625,37,3,2,205.2
5626,37,2,2,168.2
5627,37,1,2,216.8
5628,41,1,2,242.6
5629,41,2,2,185.4
5630,41,3,2,177.2
5631,41,4,2,212
5632,41,5,2,203.4
5633,41,6,2,179.4
5634,41,7,2,219.6
5635,41,8,2,196
5636,41,9,2,219.2
5637,41,10,2,214.8
5638,41,11,2,201
5639,41,12,2,161.2
5640,41,13,2,136
5641,41,14,2,170.4
5642,41,15,2,246.4
5643,41,16,2,227
5644,41,17,2,225
5645,41,18,2,201.8
5646,41,19,2,209.6
5647,41,20,2,51.2
5648,41,21,2,202.2
5649,41,22,2,235.8
5650,41,23,2,210
5651,41,24,2,208
5652,41,25,2,306.6
5653,41,26,2,141.4
5654,45,26,2,209.4
5655,45,25,2,178.6
5656,45,24,2,179
5657,45,23,2,202.8
5658,45,22,2,179.2
5659,17,26,2,192.2
5660,45,20,2,106.8
5661,45,19,2,242.4
5662,45,18,2,136.2
5663,45,17,2,216.6
5664,45,16,2,188.4
5665,45,15,2,208
5666,45,14,2,172.4
5667,45,13,2,296.6
5668,45,12,2,357.6
5669,45,11,2,230
5670,45,10,2,204
5671,45,9,2,186.8
5672,45,8,2,181
5673,45,7,2,196.4
5674,45,6,2,149.4
5675,45,5,2,166.6
5676,45,4,2,175.4
5677,45,3,2,163.8
5678,45,2,2,185.4
5679,45,1,2,174.6
5680,49,1,2,204.8
