"TOA5","CR1000XSeries_1","CR1000X","8302","CR1000X.Std.02.00","CPU:LineQuantum.CR1X","16901","Quantum"
"TIMESTAMP","RECORD","BattV_Min","PanelT","PPF1_Avg","PPF2_Avg","PPF3_Avg","PPF4_Avg","PPF5_Avg","PPF_above_Avg"
"TS","RN","","","","","","","",""
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-08-20 13:29:23",0,13.33025,28.87442,1188.199,1771.903,1773.678,1867.995,1024.823,1879.577
"2020-08-20 13:29:23.5",1,13.32589,28.87451,1188.35,1773.95,1774.3,1867.775,1025.436,1879.715
"2020-08-20 13:29:24",2,13.3297,28.87485,1191.509,1772.899,1774.594,1865.723,1026.039,1883.073
"2020-08-20 13:29:24.5",3,13.3296,28.875,1190.113,1773.863,1775.422,1870.417,1027.38,1882.106
"2020-08-20 13:29:25",4,13.32935,28.87534,1193.505,1775.082,1775.953,1869.175,1027.245,1882.668
"2020-08-20 13:29:25.5",5,13.32932,28.87549,1194.985,1777.193,1776.201,1867.415,1027.964,1886.516
"2020-08-20 13:29:26",6,13.32951,28.87573,1193.115,1776.646,1778.578,1872.26,1028.623,1887.03
"2020-08-20 13:29:26.5",7,13.32966,28.87589,1194.718,1779.327,1778.189,1871.521,1030.039,1884.692
"2020-08-20 13:29:27",8,13.32965,28.87631,1198.375,1779.078,1781.157,1874.901,1029.453,1890.093
"2020-08-20 13:29:27.5",9,13.32959,28.87643,1198.902,1781.848,1782.139,1874.658,1030.38,1890.586
"2020-08-20 13:29:28",10,13.3296,28.87686,1200.327,1782.199,1782.307,1876.612,1031.578,1892.799
"2020-08-20 13:29:28.5",11,13.32967,28.87689,1200.117,1781.224,1782.511,1876.443,1031.82,1894.272
"2020-08-20 13:29:29",12,13.32962,28.8772,1203.256,1782.899,1781.861,1877.909,1030.95,1892.691
"2020-08-20 13:29:29.5",13,13.32961,28.87753,1203.805,1784.026,1785.432,1881,1033.425,1896.009
"2020-08-20 13:29:30",14,13.32964,28.87756,1201.742,1787.087,1787.363,1878.414,1033.996,1899.332
"2020-08-20 13:29:30.5",15,13.32962,28.87784,1205.61,1785.757,1787.455,1882.217,1035.128,1897.777
"2020-08-20 13:29:31",16,13.32959,28.87805,1206.414,1786.306,1785.783,1880.164,1033.695,1895.103
"2020-08-20 13:29:31.5",17,13.32956,28.87833,1204.158,1778.678,1779.149,1870.992,1027.317,1882.681
"2020-08-20 13:29:32",18,13.32961,28.87854,1191.805,1755.707,1752.59,1841.876,1013.829,1846.622
"2020-08-20 13:29:32.5",19,13.32954,28.87881,1163.216,1710.301,1706.181,1789.883,989.1528,1794.487
"2020-08-20 13:29:33",20,13.3296,28.87909,1125.083,1659.258,1656.809,1740.004,968.0915,1752.779
"2020-08-20 13:29:33.5",21,13.32965,28.87936,1098.531,1632.249,1633.833,1719.403,959.1403,1737.356
"2020-08-20 13:29:34",22,13.32952,28.87949,1089.547,1631.31,1634.793,1725.25,963.7657,1746.594
"2020-08-20 13:29:34.5",23,13.32958,28.87964,1104.156,1655.189,1657.937,1748.467,975.5615,1772.261
"2020-08-20 13:29:35",24,13.32969,28.88,1127.113,1681.024,1687.205,1778.291,988.4182,1801.354
"2020-08-20 13:29:35.5",25,13.32953,28.88013,1152.329,1706.521,1710.69,1803.435,999.473,1818.997
"2020-08-20 13:29:36",26,13.32959,28.88062,1157.145,1704.522,1701.817,1787.291,988.7727,1789.749
"2020-08-20 13:29:36.5",27,13.32956,28.88077,1127.411,1659.044,1654.407,1734.678,963.0457,1743.543
"2020-08-20 13:29:37",28,13.32953,28.8812,1089.127,1611.018,1604.542,1683.578,941.8512,1698.858
"2020-08-20 13:29:37.5",29,13.32968,28.88135,1059.885,1568.722,1565.623,1648.538,925.0057,1657.376
"2020-08-20 13:29:38",30,13.32962,28.88174,1042.01,1547.266,1548.441,1627.875,915.6426,1646.723
"2020-08-20 13:29:38.5",31,13.32966,28.88181,1039.762,1544.651,1549.122,1633.378,920.3273,1656.725
