dectime,type,orientation,H,M
9.4,pull,S,9,24
9.433333333,pull,N,9,26
10.05,open,S,10,3
10.06666667,pull,S,10,4
10.08333333,open,N,10,5
10.11666667,pull,N,10,7
11.05,open,S,11,3
11.06666667,pull,S,11,4
11.1,open,N,11,6
11.11666667,pull,N,11,7
12.08333333,open,S,12,5
12.1,pull,S,12,6
12.15,open,N,12,9
12.16666667,pull,N,12,10
12.2,open_re,S,12,12
13.03333333,open,S,13,2
13.05,pull,S,13,3
13.08333333,open,N,13,5
13.1,pull,N,13,6
13.11666667,stable,N,13,7
14.1,open,S,14,6
14.2,pull,S,14,12
14.23333333,open,N,14,14
14.25,pull,N,14,15
15.03333333,open,S,15,2
15.05,pull,S,15,3
15.08333333,open,N,15,5
15.1,pull,N,15,6
15.98333333,open,S,15,59
16,pull,S,16,0
16.03333333,open,N,16,2
16.05,pull,N,16,3
16.9,open,S,16,54
16.91666667,pull,S,16,55
16.95,open,N,16,57
16.96666667,pull,N,16,58
