date,first_row,range,height
6/8/2018,121,28,62.541947
6/8/2018,73,7,65.621965
6/8/2018,85,21,64.316147
6/8/2018,101,12,63.339213
6/8/2018,117,23,62.87113
6/8/2018,133,29,63.500075
6/8/2018,117,3,62.319048
6/8/2018,81,3,66.182439
6/8/2018,37,4,65.367563
6/8/2018,109,2,67.937476
6/8/2018,69,5,66.131059
6/8/2018,33,18,62.598509
6/8/2018,109,17,62.313329
6/8/2018,41,21,64.674584
6/8/2018,5,24,64.703717
6/8/2018,121,31,64.298132
6/8/2018,41,30,64.27443
6/8/2018,5,5,66.541275
6/8/2018,0,11,64.251059
6/8/2018,45,19,64.593127
6/8/2018,21,25,64.357255
6/8/2018,69,28,64.167634
6/8/2018,141,17,63.925824
6/8/2018,133,4,63.987448
6/8/2018,53,10,63.850813
6/8/2018,29,26,63.916539
6/8/2018,109,7,62.922357
6/8/2018,109,23,62.365558
6/8/2018,65,25,62.752789
6/8/2018,13,14,65.774388
6/8/2018,89,9,65.659009
6/8/2018,37,12,62.549546
6/8/2018,125,2,64.645918
6/8/2018,29,1,64.481105
6/8/2018,25,28,62.581482
6/8/2018,53,29,63.38154
6/8/2018,61,14,65.286928
6/8/2018,37,16,66.722622
6/8/2018,69,31,66.90487
6/8/2018,137,27,63.791847
6/8/2018,29,9,65.506004
6/8/2018,109,26,61.556286
6/8/2018,0,22,64.157611
6/8/2018,85,31,68.041681
6/8/2018,81,5,65.093351
6/8/2018,17,12,62.840211
6/8/2018,117,7,62.286339
6/8/2018,105,30,62.572014
6/8/2018,5,15,62.379934
6/8/2018,77,24,63.699922
6/8/2018,105,7,64.470793
6/8/2018,5,17,64.055271
6/8/2018,9,17,65.963399
6/8/2018,81,7,64.757247
6/8/2018,89,3,62.692571
6/8/2018,41,5,63.21184
6/8/2018,1,13,62.810372
6/8/2018,141,14,63.876547
6/8/2018,0,24,63.349605
6/8/2018,105,22,62.312274
6/8/2018,37,27,64.050345
6/8/2018,113,16,63.563507
6/8/2018,101,7,63.963285
6/8/2018,5,26,63.509399
6/8/2018,0,5,64.940357
6/8/2018,117,15,62.057372
6/8/2018,121,19,61.288577
6/8/2018,29,20,65.234246
6/8/2018,65,5,65.189525
6/8/2018,17,7,62.688487
6/8/2018,41,24,62.977747
6/8/2018,69,7,66.944002
6/8/2018,69,9,65.875434
6/8/2018,141,1,63.750067
6/8/2018,109,8,64.591327
6/8/2018,137,12,62.274985
6/8/2018,57,15,62.96731
6/8/2018,1,7,62.876793
6/8/2018,89,13,61.690154
6/8/2018,113,25,62.241261
6/8/2018,101,25,64.779083
6/8/2018,13,7,64.039904
6/8/2018,137,4,63.37149
6/8/2018,25,11,64.688676
6/8/2018,117,10,63.811346
6/8/2018,125,9,63.681406
6/8/2018,125,30,65.941175
6/8/2018,1,19,61.741653
6/8/2018,41,22,64.249822
6/8/2018,113,4,63.457532
6/8/2018,97,7,64.075556
6/8/2018,61,24,64.005214
6/8/2018,133,7,62.685108
6/8/2018,53,23,65.410274
6/8/2018,65,12,63.870119
6/8/2018,137,29,62.886516
6/8/2018,77,29,64.132073
6/8/2018,41,26,64.543696
