date,first_row,range,lai
6/8/2018,28,121,6.002025
6/8/2018,7,73,5.150194
6/8/2018,21,85,5.802673
6/8/2018,12,101,6.012216
6/8/2018,23,117,5.965995
6/8/2018,29,133,6.065218
6/8/2018,3,117,6.000164
6/8/2018,3,81,5.865561
6/8/2018,4,37,5.277484
6/8/2018,2,109,5.144434
6/8/2018,5,69,5.365966
6/8/2018,0,13,5.365966
6/8/2018,18,33,6.197346
6/8/2018,17,109,5.917766
6/8/2018,21,41,5.712192
6/8/2018,24,5,5.559994
6/8/2018,31,121,5.701672
6/8/2018,30,41,5.826792
6/8/2018,5,5,4.938799
6/8/2018,11,0,6.167917
6/8/2018,19,45,5.639226
6/8/2018,25,21,5.545102
6/8/2018,28,69,5.18773
6/8/2018,17,141,5.503615
6/8/2018,4,133,5.77558
6/8/2018,10,53,5.639584
6/8/2018,26,29,5.692574
6/8/2018,7,109,5.934584
6/8/2018,23,109,5.678084
6/8/2018,25,65,5.682292
6/8/2018,14,13,6.041783
6/8/2018,9,89,6.124077
6/8/2018,12,37,5.821262
6/8/2018,2,125,5.447616
6/8/2018,1,29,5.542126
6/8/2018,28,25,5.698538
6/8/2018,29,53,5.877877
6/8/2018,14,61,5.263549
6/8/2018,16,37,5.798237
6/8/2018,0,14,5.798237
6/8/2018,31,69,5.376603
6/8/2018,27,137,5.796413
6/8/2018,9,29,5.870888
6/8/2018,26,109,5.769723
6/8/2018,22,0,5.930751
6/8/2018,31,85,5.798494
6/8/2018,5,81,5.458356
6/8/2018,12,17,6.021153
6/8/2018,7,117,5.947714
6/8/2018,30,105,6.162379
6/8/2018,15,5,5.652654
6/8/2018,24,77,5.828169
6/8/2018,7,105,5.93992
6/8/2018,17,5,5.565129
6/8/2018,17,9,5.547176
6/8/2018,7,81,5.611659
6/8/2018,3,89,6.317586
6/8/2018,5,41,5.591835
6/8/2018,13,1,5.933267
6/8/2018,14,141,5.733098
6/8/2018,24,0,5.833267
6/8/2018,22,105,6.073399
6/8/2018,27,37,5.532616
6/8/2018,16,113,5.649878
6/8/2018,7,101,5.57187
6/8/2018,26,5,5.790037
6/8/2018,5,0,5.803531
6/8/2018,15,117,5.995772
6/8/2018,19,121,5.851069
6/8/2018,20,29,5.410604
6/8/2018,5,65,5.747955
6/8/2018,7,17,6.000032
6/8/2018,0,6,6.000032
6/8/2018,24,41,5.798366
6/8/2018,7,69,5.13362
6/8/2018,9,69,5.382567
6/8/2018,1,141,5.880655
6/8/2018,8,109,5.457121
6/8/2018,12,137,5.870388
6/8/2018,15,57,6.068909
6/8/2018,7,1,6.065269
6/8/2018,13,89,5.708092
6/8/2018,25,113,5.907047
6/8/2018,25,101,5.673271
6/8/2018,7,13,5.517935
6/8/2018,4,137,5.64049
6/8/2018,11,25,5.912151
6/8/2018,10,117,6.268663
6/8/2018,9,125,5.65143
6/8/2018,30,125,5.565712
6/8/2018,19,1,5.873068
6/8/2018,22,41,6.129261
6/8/2018,4,113,5.951346
6/8/2018,7,97,5.93567
6/8/2018,24,61,5.400627
6/8/2018,7,133,5.831192
6/8/2018,23,53,5.67538
6/8/2018,12,65,5.662498
6/8/2018,29,137,5.937293
6/8/2018,29,77,6.117122
6/8/2018,26,41,5.778474
6/8/2018,18,5,5.677915
6/8/2018,11,93,5.881593
6/8/2018,1,137,5.698288
6/8/2018,20,141,5.639501
6/8/2018,13,101,5.741691
6/8/2018,1,129,5.621936
6/8/2018,23,25,6.074395
6/8/2018,6,93,5.340732
6/8/2018,19,137,5.813504
6/8/2018,13,113,6.022282
6/8/2018,10,97,6.014678
6/8/2018,29,69,5.298123
6/8/2018,10,45,5.873753
6/8/2018,6,89,5.854173
6/8/2018,17,49,5.667265
6/8/2018,3,137,5.842153
6/8/2018,2,45,5.446054
6/8/2018,1,49,5.211579
6/8/2018,8,1,6.160172
6/8/2018,19,17,6.132343
6/8/2018,7,89,5.680962
6/8/2018,12,121,5.76572
6/8/2018,26,37,5.597474
6/8/2018,16,0,5.950651
6/8/2018,3,105,6.281598
6/8/2018,22,89,6.143579
6/8/2018,18,1,5.909903
6/8/2018,8,85,5.806548
6/8/2018,4,41,5.856397
6/8/2018,7,53,5.838147
6/8/2018,0,4,5.838147
6/8/2018,4,69,5.235091
6/8/2018,15,109,5.639262
6/8/2018,22,13,5.894182
6/8/2018,28,85,5.697491
6/8/2018,6,117,5.982715
6/8/2018,5,93,5.249217
6/8/2018,26,53,5.575088
6/8/2018,17,65,5.406161
6/8/2018,0,11,5.406161
6/8/2018,21,89,5.930404
6/8/2018,0,15,5.930404
6/8/2018,1,5,5.710689
6/8/2018,16,137,5.805011
6/8/2018,2,81,6.223443
6/8/2018,7,65,5.339905
6/8/2018,21,65,5.680714
6/8/2018,25,45,5.747342
6/8/2018,17,45,5.844395
6/8/2018,22,121,5.754892
6/8/2018,29,113,5.565099
6/8/2018,21,45,5.577167
6/8/2018,12,5,5.857624
6/8/2018,3,0,5.106891
6/8/2018,28,117,5.741482
6/8/2018,26,93,5.724184
6/8/2018,14,81,6.358901
6/8/2018,28,97,5.94108
6/8/2018,18,141,5.799332
6/8/2018,25,73,5.739825
6/8/2018,17,117,6.081582
6/8/2018,20,17,5.782384
6/8/2018,4,45,5.490534
6/8/2018,5,61,5.434364
6/8/2018,29,61,5.126877
6/8/2018,2,53,5.777108
6/8/2018,3,93,5.571033
6/8/2018,1,57,5.882839
6/8/2018,23,37,5.946495
6/8/2018,23,113,5.749054
6/8/2018,25,69,5.113047
6/8/2018,13,57,6.049535
6/8/2018,2,1,6.051422
6/8/2018,12,81,5.930027
6/8/2018,11,129,6.22074
6/8/2018,29,33,5.512289
6/8/2018,22,17,6.102548
6/8/2018,14,5,5.512371
6/8/2018,24,65,5.677456
6/8/2018,6,137,5.802346
6/8/2018,29,17,5.628295
6/8/2018,2,41,5.954802
6/8/2018,23,1,6.087455
6/8/2018,27,41,5.575945
6/8/2018,5,21,5.598549
6/8/2018,16,85,6.066169
6/8/2018,31,113,5.82297
6/8/2018,20,113,5.726397
6/8/2018,4,17,6.124312
6/8/2018,15,1,6.043518
6/8/2018,30,45,5.486091
6/8/2018,0,7,5.486091
6/8/2018,4,5,5.551601
6/8/2018,21,21,5.099624
6/8/2018,29,129,6.236773
6/8/2018,9,65,5.592845
6/8/2018,8,57,5.97152
6/8/2018,21,73,5.894373
6/8/2018,13,137,5.88124
6/8/2018,8,33,5.737252
6/8/2018,15,93,5.833677
6/8/2018,30,117,5.51746
6/8/2018,27,13,5.704762
6/8/2018,4,85,6.324117
6/8/2018,5,141,5.827386
6/8/2018,20,109,5.849732
6/8/2018,21,57,5.749785
6/8/2018,19,13,5.673148
6/8/2018,24,29,5.945649
6/8/2018,20,65,5.814552
6/8/2018,1,113,5.880783
6/8/2018,21,117,5.670057
6/8/2018,27,105,5.754343
6/8/2018,30,57,5.909462
6/8/2018,1,9,5.471865
6/8/2018,13,37,5.499613
6/8/2018,18,73,6.049891
6/8/2018,21,77,5.823888
6/8/2018,29,45,6.013989
6/8/2018,4,49,6.107987
6/8/2018,28,57,5.875198
6/8/2018,27,125,5.60859
6/8/2018,26,69,5.198786
6/8/2018,3,1,5.475546
6/8/2018,21,93,5.836183
6/8/2018,7,49,5.698645
6/8/2018,14,33,5.962448
6/8/2018,5,53,5.435315
6/8/2018,11,125,5.616562
6/8/2018,6,29,5.722204
