DATE,SPECIES,PLOT,N_PLANTS,LEAF AREA,LP1,LP2,LP3,LP4,,,,,,,,,,,,,,,,,
2019-08-29,ES,1,N/A,6478.68,2707.76,3770.92,N/A,N/A,,,,,,,,,,,,,,,,,
2019-08-29,ES,2,N/A,18441.48,4349.35,4784.7,9307.43,N/A,,,,,,,,,,,,,,,,,
2019-08-29,ES,3,N/A,19272.37,3151.66,3785,9191.31,3144.4,,,,,,,,,,,,,,,,,
2019-08-29,ES,4,N/A,19539.81,4558.55,3101.99,7785.63,4093.64,,,,,,,,,,,,,,,,,
2019-08-29,ES,5,N/A,23700.235,2320.32,4606.395,6606.75,7846.45,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
