,,,[#],[#],,[score],[kg/mrow],[kg],[kg],[kg],[kg],[kg],[kg],[kg],[kg/3stems],[cm^2],[cm^2],[cm^2],[cm^2],[cm^2],[cm^2],[cm^2],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm]
row,range,line,count_L,count_R,count,lodging,yield,part_yield_stems,part_yield_L0,part_yield_L1,part_yield_L2,part_yield_L3,part_yield_L4,part_yield_L5,part_yield_sum,part_leafarea_L0,part_leafarea_L1,part_leafarea_L2,part_leafarea_L3,part_leafarea_L4,part_leafarea_L5,part_leafarea_sum,width_R_1,width_R_2,width_R_3,width_R_4,width_R_5,width_R_6,width_R_7,width_R_avg,width_L_1,width_L_2,width_L_3,width_L_4,width_L_5,width_L_6,width_L_7,width_L_avg,width
5,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2,5,7,14,10.5,5,1.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.87,10.65,19.7,15.44,12.88,12.39,10.49,13.77428571,19.85,19.29,12.59,14.82,20.73,15.58,12.13,16.42714286,15.10071429
5,3,3,24,21,22.5,0,1.737,0.079,0.005,0.11,0.012,0.013,0.012,0,0.231,356.04,873.7,1768,2135,2640,0,7772.74,21.26,15.7,19.62,12.53,16.78,16.24,13.72,16.55,17.78,21.19,15.07,13.04,11.6,15.96,19.04,16.24,16.395
5,4,4,11,12,11.5,1,2.374,0.317,0.001,0.009,0.015,0.008,0.011,0.047,0.408,121.9,699.01,1187.22,803.83,1675.02,6484.84,10971.82,20.97,16.66,18.92,14.66,9.23,18.26,17.26,16.56571429,20.69,10.37,15.91,29.84,12.14,21.16,29.67,19.96857143,18.26714286
5,5,1,17,18,17.5,4,3.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,18.04,18.42,14.56,15.22,12.17,13.23,15.22,15.21,14.5,13.31,18.21,15.29,14.98,19.68,15.88285714,15.55142857
5,6,2,17,6,11.5,1,2.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.21,8.64,17.77,11.16,17.88,12.81,19,15.92428571,18.02,14.29,14.16,14.82,12.54,17.92,21,16.10714286,16.01571429
5,7,5,9,14,11.5,5,1.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.44,8.41,10.37,11.34,13.2,16.53,15.03,13.18857143,12.32,13.76,14.76,12.63,12.34,13.54,16.85,13.74285714,13.46571429
5,8,3,18,19,18.5,0,2.378,0.102,0.004,0.003,0.014,0.012,0.015,0.004,0.154,318.03,237.52,1161.65,2117.68,2809.78,1079.87,7724.53,19.01,11.71,12.38,20.49,19.25,22.45,18.68,17.71,16.27,21.31,16.28,19.83,22.82,17.44,14.25,18.31428571,18.01214286
5,9,4,8,9,8.5,2,2.501,0.352,0.003,0.005,0.007,0.012,0.012,0.05,0.441,287.64,510.53,942.93,1495.97,1587.84,7432.28,12257.19,16.76,25.3,22.75,17.93,13.25,18.84,10.51,17.90571429,13.37,26.5,24.35,28.82,29.02,24.6,20.08,23.82,20.86285714
