date,replicate,species,speed,plot_id,height
8/29/2019,3,es,f,1,0.9117722
8/29/2019,4,es,f,2,2.07535238
8/29/2019,4,es,s,4,2.55426377
8/29/2019,3,es,s,3,2.58270217
8/29/2019,4,es,f,5,2.67311381
8/29/2019,3,es,s,1,0.88005908
8/29/2019,5,es,s,2,2.08750758
8/29/2019,4,es,f,4,2.50280609
8/29/2019,4,es,s,2,2.15018653
8/29/2019,1,es,f,2,2.14753782
8/29/2019,3,es,f,3,2.6502989
8/29/2019,3,es,f,4,2.54542267
8/29/2019,2,es,s,4,2.44261403
8/29/2019,2,es,f,1,0.86807919
8/29/2019,5,es,s,1,0.89212777
8/29/2019,1,es,f,5,2.77706025
8/29/2019,5,es,f,5,2.81546427
8/29/2019,4,es,f,1,0.8697187
8/29/2019,4,es,s,1,0.88899222
8/29/2019,5,es,f,4,2.52994899
8/29/2019,5,es,f,2,2.16061966
8/29/2019,2,es,f,3,2.59116878
8/29/2019,2,es,f,5,2.90113798
8/29/2019,1,es,f,1,0.91784995
8/29/2019,1,es,f,3,2.64760589
8/29/2019,1,es,f,4,2.51881465
8/29/2019,2,es,f,2,2.03008776
8/29/2019,1,es,s,3,2.58996703
8/29/2019,2,es,s,1,0.88825132
8/29/2019,5,es,f,3,2.61734686
8/29/2019,1,es,s,5,2.81968509
8/29/2019,4,es,s,3,2.61746718
8/29/2019,1,es,s,2,2.07133566
8/29/2019,3,es,s,4,2.60130194
8/29/2019,2,es,s,2,2.1662647
8/29/2019,3,es,f,5,2.81898368
8/29/2019,1,es,s,4,2.60519612
8/29/2019,5,es,s,4,2.58707591
8/29/2019,4,es,s,5,2.92435448
8/29/2019,4,es,f,3,2.58688868
8/29/2019,2,es,s,5,2.83777478
8/29/2019,2,es,f,4,2.54829918
8/29/2019,5,es,s,5,2.79931716
8/29/2019,5,es,s,3,2.59096005
8/29/2019,3,es,s,5,2.82553518
8/29/2019,1,es,s,1,0.87455033
8/29/2019,5,es,f,1,0.90250969
8/29/2019,2,es,s,3,2.63526392
8/29/2019,3,es,s,2,2.09924467
8/29/2019,3,es,f,2,2.16965303
8/23/2019,1,bc,f,1,0.85351925
8/23/2019,1,bc,f,2,1.45581163
8/23/2019,1,bc,f,3,1.59684496
8/23/2019,1,bc,f,4,1.65162319
8/23/2019,1,bc,f,5,1.54011496
8/23/2019,1,zm,f,1,1.20441894
8/23/2019,1,zm,f,2,2.32196013
8/23/2019,1,zm,f,3,2.27472529
8/23/2019,1,zm,f,4,2.37123224
8/23/2019,1,zm,f,5,2.48379112
8/23/2019,2,bc,f,1,0.90545451
8/23/2019,2,bc,f,2,1.31881935
8/23/2019,2,bc,f,3,1.6078587
8/23/2019,2,bc,f,4,1.62645624
8/23/2019,2,bc,f,5,1.72627875
8/23/2019,2,zm,f,1,1.13016647
8/23/2019,2,zm,f,2,2.31321568
8/23/2019,2,zm,f,3,2.30585643
8/23/2019,2,zm,f,4,2.49501531
8/23/2019,2,zm,f,5,2.38330704
8/23/2019,3,bc,f,1,0.88153641
8/23/2019,3,bc,f,2,1.36591564
8/23/2019,3,bc,f,3,1.56027005
8/23/2019,3,bc,f,4,1.6476991
8/23/2019,3,bc,f,5,1.63650681
8/23/2019,3,zm,f,1,1.15426404
8/23/2019,3,zm,f,2,2.31985026
8/23/2019,3,zm,f,3,2.3168983
8/23/2019,3,zm,f,4,2.37161269
8/23/2019,3,zm,f,5,2.36807735
8/23/2019,4,bc,f,1,0.84148
8/23/2019,4,bc,f,2,1.45713097
8/23/2019,4,bc,f,3,1.60795166
8/23/2019,4,bc,f,4,1.65144908
8/23/2019,4,bc,f,5,1.65674727
8/23/2019,4,zm,f,1,1.14867971
8/23/2019,4,zm,f,2,2.20709053
8/23/2019,4,zm,f,3,2.3416783
8/23/2019,4,zm,f,4,2.29820778
8/23/2019,4,zm,f,5,2.35074685
8/23/2019,5,bc,f,1,0.86484103
8/23/2019,5,bc,f,2,1.39161664
8/23/2019,5,bc,f,3,1.58272821
8/23/2019,5,bc,f,4,1.63325101
8/23/2019,5,bc,f,5,1.66372178
8/23/2019,5,zm,f,1,1.1526553
8/23/2019,5,zm,f,2,2.28836093
8/23/2019,5,zm,f,3,2.36537242
8/23/2019,5,zm,f,4,2.40805066
