file_name,lai,height
07_09_2020\1 1.ubh,0.2098,0.8353
07_09_2020\1 2.ubh,2.9465,1.2503
07_09_2020\1 3.ubh,3.4063,1.3172
07_09_2020\1 4.ubh,3.3486,1.2703
07_09_2020\1 5.ubh,3.8861,1.4413
07_09_2020\1 6.ubh,3.4442,1.3469
07_09_2020\2 1.ubh,0.0788,0.5285
07_09_2020\2 2.ubh,2.9616,1.1523
07_09_2020\2 3.ubh,3.6232,1.4025
07_09_2020\2 4.ubh,3.7305,1.3135
07_09_2020\2 5.ubh,4.9076,1.4768
07_09_2020\2 6.ubh,4.5314,1.474
07_09_2020\3 1.ubh,0.0812,0.5567
07_09_2020\3 2.ubh,0.5319,0.9714
07_09_2020\3 3.ubh,4.0585,1.3923
07_09_2020\3 4.ubh,4.1698,1.4841
07_09_2020\3 5.ubh,4.4434,1.4698
07_09_2020\3 6.ubh,4.5037,1.4784
07_09_2020\4 1.ubh,0.0262,0.437
07_09_2020\4 2.ubh,0.1225,0.7971
07_09_2020\4 3.ubh,3.4793,1.2606
07_09_2020\4 4.ubh,3.7903,1.3496
07_09_2020\4 5.ubh,4.4453,1.4218
07_09_2020\4 6.ubh,3.9914,1.4048
07_09_2020\5 1.ubh,0.0445,0.4509
07_09_2020\5 2.ubh,0.1483,0.856
07_09_2020\5 3.ubh,3.2485,1.2347
07_09_2020\5 4.ubh,4.2669,1.3839
07_09_2020\5 5.ubh,4.2972,1.4401
07_09_2020\5 6.ubh,4.0447,1.3673
07_09_2020\6 1.ubh,0.0196,0.4083
07_09_2020\6 2.ubh,0.0161,0.4279
07_09_2020\6 3.ubh,0.3502,0.8481
07_09_2020\6 4.ubh,2.3763,1.1615
07_09_2020\6 5.ubh,3.4784,1.3571
07_09_2020\6 6.ubh,3.8194,1.4536
07_14_2020\1 1.ubh,0.4149,1.0224
07_14_2020\1 2.ubh,2.8829,1.4443
07_14_2020\1 3.ubh,3.4399,1.4838
07_14_2020\1 4.ubh,3.4013,1.4886
07_14_2020\1 5.ubh,3.7781,1.5184
07_14_2020\1 6.ubh,3.4936,1.5563
07_14_2020\2 1.ubh,0.2036,0.6814
07_14_2020\2 2.ubh,3.0724,1.4348
07_14_2020\2 3.ubh,3.6791,1.6076
07_14_2020\2 4.ubh,3.5663,1.5662
07_14_2020\2 5.ubh,4.4618,1.7265
07_14_2020\2 6.ubh,4.3631,1.7527
07_14_2020\3 1.ubh,0.1971,0.7093
07_14_2020\3 2.ubh,0.6365,1.1769
07_14_2020\3 3.ubh,3.8536,1.5376
07_14_2020\3 4.ubh,4.2122,1.5993
07_14_2020\3 5.ubh,4.3787,1.6401
07_14_2020\3 6.ubh,4.2667,1.6171
07_14_2020\4 1.ubh,0.0789,0.6076
07_14_2020\4 2.ubh,0.2284,0.9837
07_14_2020\4 3.ubh,3.5055,1.5058
07_14_2020\4 4.ubh,3.6778,1.5946
07_14_2020\4 5.ubh,4.4491,1.6604
07_14_2020\4 6.ubh,3.8352,1.594
07_14_2020\5 1.ubh,0.1363,0.6267
07_14_2020\5 2.ubh,0.2034,1.0233
07_14_2020\5 3.ubh,3.0722,1.3773
07_14_2020\5 4.ubh,4.2828,1.5786
07_14_2020\5 5.ubh,4.3977,1.6314
07_14_2020\5 6.ubh,4.4547,1.5544
07_14_2020\6 1.ubh,0.0608,0.5507
07_14_2020\6 2.ubh,0.053,0.5656
07_14_2020\6 3.ubh,0.5415,1.0162
07_14_2020\6 4.ubh,2.3363,1.3085
07_14_2020\6 5.ubh,3.3188,1.5376
07_14_2020\6 6.ubh,3.7769,1.6277
07_29_2020\1 1.ubh,3.4175,1.6241
07_29_2020\1 2.ubh,5.0355,2.0441
07_29_2020\1 3.ubh,5.0146,2.1768
07_29_2020\1 4.ubh,5.1522,2.2
07_29_2020\1 5.ubh,6.5215,2.195
07_29_2020\1 6.ubh,4.9757,2.2217
07_29_2020\2 1.ubh,2.8788,1.5291
07_29_2020\2 2.ubh,5.0678,2.0409
07_29_2020\2 3.ubh,6.2409,2.2138
07_29_2020\2 4.ubh,7.1178,2.1866
07_29_2020\2 5.ubh,6.1152,2.3125
07_29_2020\2 6.ubh,5.7831,2.3336
07_29_2020\2020_07_29_08_14_36_225.ubh,0.1025,0.0185
07_29_2020\2020_07_29_08_21_20_996.ubh,0.6271,1.8268
07_29_2020\3 1.ubh,2.5092,1.6501
