"TOA5","CR1000XSeries_1","CR1000X","8302","CR1000X.Std.02.00","CPU:LineQuantum.CR1X","29888","Quantum"
"TIMESTAMP","RECORD","BattV_Min","PanelT","PPF1_Avg","PPF2_Avg","PPF3_Avg","PPF4_Avg","PPF5_Avg","PPF_above_Avg"
"TS","RN","","","","","","","",""
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-08-21 11:36:48.5",0,13.36036,31.93048,1353.85,1341.301,148.7824,153.9668,184.3058,1395.088
"2019-08-21 11:36:49",1,13.35004,31.93506,1348.773,1340.085,148.7289,153.9159,184.2368,1393.761
"2019-08-21 11:36:49.5",2,13.35,31.93985,1347.547,1334.602,148.6622,153.8487,184.1462,1392.025
"2019-08-21 11:36:50",3,13.35338,31.94482,1345.46,1334.933,148.603,153.8204,184.0929,1389.741
"2019-08-21 11:36:50.5",4,13.35329,31.94925,1343.11,1332.025,148.5878,153.7989,184.0411,1390.18
"2019-08-21 11:36:51",5,13.35317,31.95374,1343.455,1332.048,148.5641,153.7933,184.0138,1385.674
"2019-08-21 11:36:51.5",6,13.3532,31.95724,1343.74,1333.539,148.5794,153.8045,184.005,1390.589
"2019-08-21 11:36:52",7,13.35339,31.96194,1344.005,1334.629,148.5829,153.8054,183.9947,1391.398
"2019-08-21 11:36:52.5",8,13.35345,31.96674,1345.009,1332.812,148.5822,153.7965,183.9785,1388.331
"2019-08-21 11:36:53",9,13.35338,31.97122,1344.054,1333.074,148.5828,153.7941,183.9691,1389.705
"2019-08-21 11:36:53.5",10,13.35335,31.97574,1345.327,1334.708,148.61,153.8073,183.9756,1389.97
"2019-08-21 11:36:54",11,13.35339,31.98032,1346.036,1334.206,148.638,153.8211,183.9954,1389.95
"2019-08-21 11:36:54.5",12,13.3534,31.98523,1349.151,1336.438,148.6661,153.8395,184.0191,1392.73
"2019-08-21 11:36:55",13,13.35346,31.99002,1349.857,1338.3,148.6973,153.8607,184.0445,1397.543
"2019-08-21 11:36:55.5",14,13.35341,31.99472,1351.889,1340.279,148.7318,153.8889,184.0695,1396.619
"2019-08-21 11:36:56",15,13.35336,31.99945,1354.845,1343.08,148.7652,153.9217,184.1013,1395.68
"2019-08-21 11:36:56.5",16,13.35336,32.00424,1356.261,1345.586,148.7955,153.9457,184.1101,1400.224
"2019-08-21 11:36:57",17,13.35327,32.00885,1357.115,1345.422,148.8253,153.972,184.1229,1400.855
"2019-08-21 11:36:57.5",18,13.35092,32.01346,1358.055,1347.195,148.8543,153.9963,184.128,1398.821
"2019-08-21 11:36:58",19,13.35326,32.01825,1360.144,1347.509,148.8801,154.0162,184.1348,1400.17
"2019-08-21 11:36:58.5",20,13.35341,32.02283,1360.757,1345.616,148.8837,154.0133,184.1122,1399.517
"2019-08-21 11:36:59",21,13.35332,32.02725,1359.741,1347.263,148.8848,154.0086,184.0852,1398.161
"2019-08-21 11:36:59.5",22,13.35333,32.03091,1359.208,1345.498,148.7961,153.9502,184.0064,1394.587
"2019-08-21 11:37:00",23,13.35328,32.03519,1355.69,1342.77,148.7172,153.8866,183.9348,1393.846
"2019-08-21 11:37:00.5",24,13.35313,32.03943,1354.145,1341.012,148.7023,153.8726,183.8761,1391.629
"2019-08-21 11:37:01",25,13.35314,32.04315,1350.721,1340.349,148.702,153.8549,183.8287,1391.755
"2019-08-21 11:37:01.5",26,13.35315,32.04727,1354.817,1339.895,148.6727,153.8272,183.784,1389.26
"2019-08-21 11:37:02",27,13.35321,32.05182,1355.08,1341.781,148.638,153.803,183.75,1392.512
"2019-08-21 11:37:02.5",28,13.35307,32.05621,1356.464,1342.008,148.6078,153.7816,183.7176,1390.982
"2019-08-21 11:37:03",29,13.35322,32.06085,1355.886,1343.608,148.5764,153.7584,183.6874,1391.592
"2019-08-21 11:37:03.5",30,13.35322,32.06583,1359.265,1345.41,148.5707,153.7465,183.6767,1393.31
"2019-08-21 11:37:04",31,13.35316,32.07083,1363.592,1350.268,148.5643,153.7386,183.6706,1393.557
