date,observer,species,plot_id,height,duration
2019-08-23,Bethany,bc,1,0.67,
2019-08-23,Justin,bc,1,0.66,
2019-08-23,Matt,bc,1,0.62,
2019-08-23,Taylor,bc,1,0.64,2:40
2019-08-23,Bethany,bc,2,1.54,
2019-08-23,Justin,bc,2,1.61,
2019-08-23,Matt,bc,2,1.66,
2019-08-23,Taylor,bc,2,1.45,2:40
2019-08-23,Bethany,bc,3,1.83,
2019-08-23,Justin,bc,3,1.8,
2019-08-23,Matt,bc,3,1.85,
2019-08-23,Taylor,bc,3,1.52,2:40
2019-08-23,Bethany,bc,4,1.76,
2019-08-23,Justin,bc,4,1.75,
2019-08-23,Matt,bc,4,1.83,
2019-08-23,Taylor,bc,4,1.54,2:40
2019-08-23,Bethany,bc,5,1.93,
2019-08-23,Justin,bc,5,1.86,
2019-08-23,Matt,bc,5,2.06,
2019-08-23,Taylor,bc,5,1.6,2:40
2019-08-23,Bethany,zm,1,1.07,
2019-08-23,Justin,zm,1,1.11,
2019-08-23,Matt,zm,1,1.16,2:07
2019-08-23,Taylor,zm,1,0.89,2:40
2019-08-23,Bethany,zm,2,2.38,
2019-08-23,Justin,zm,2,2.38,
2019-08-23,Matt,zm,2,2.68,2:07
2019-08-23,Taylor,zm,2,2.5,2:40
2019-08-23,Bethany,zm,3,2.39,
2019-08-23,Justin,zm,3,2.48,
2019-08-23,Matt,zm,3,2.71,2:07
2019-08-23,Taylor,zm,3,2.58,2:40
2019-08-23,Bethany,zm,4,2.36,
2019-08-23,Justin,zm,4,2.47,
2019-08-23,Matt,zm,4,2.78,2:07
2019-08-23,Taylor,zm,4,2.56,2:40
2019-08-23,Bethany,zm,5,2.5,
2019-08-23,Justin,zm,5,2.51,
2019-08-23,Matt,zm,5,2.73,2:07
2019-08-23,Taylor,zm,5,2.5,2:40
2019-08-28,Coralie,cp,1,0.48,2:05
2019-08-28,Deepak,cp,1,0.42,2:20
2019-08-28,Ed,cp,1,0.46,2:38
2019-08-28,Matt,cp,1,0.53,1:05
2019-08-28,Sandra,cp,1,0.585,2:36
2019-08-28,Coralie,cp,2,0.52,2:05
2019-08-28,Deepak,cp,2,0.39,2:20
2019-08-28,Ed,cp,2,0.45,2:38
2019-08-28,Matt,cp,2,0.66,1:05
2019-08-28,Sandra,cp,2,0.48,2:36
2019-08-28,Coralie,cp,3,0.6,2:05
2019-08-28,Deepak,cp,3,0.57,2:20
2019-08-28,Ed,cp,3,0.53,2:38
2019-08-28,Matt,cp,3,0.74,1:05
2019-08-28,Sandra,cp,3,0.56,2:36
2019-08-28,Coralie,cp,4,0.62,2:05
2019-08-28,Deepak,cp,4,0.49,2:20
2019-08-28,Ed,cp,4,0.45,2:38
2019-08-28,Matt,cp,4,0.68,1:05
2019-08-28,Sandra,cp,4,0.55,2:36
2019-08-28,Coralie,cp,5,0.62,2:05
2019-08-28,Deepak,cp,5,0.48,2:20
2019-08-28,Ed,cp,5,0.47,2:38
2019-08-28,Matt,cp,5,0.74,1:05
2019-08-28,Sandra,cp,5,0.6,2:36
2019-08-28,Coralie,es,1,0.85,2:52
2019-08-28,Ed,es,1,0.75,2:52
2019-08-28,Matt,es,1,0.86,1:16
2019-08-28,Megan,es,1,0.73,4:40
2019-08-28,Yu,es,1,0.75,3:50
2019-08-28,Coralie,es,2,1.97,2:52
2019-08-28,Ed,es,2,2.05,2:52
2019-08-28,Matt,es,2,2.31,1:16
2019-08-28,Megan,es,2,1.85,4:40
2019-08-28,Yu,es,2,2,3:50
2019-08-28,Coralie,es,3,2.45,2:52
2019-08-28,Ed,es,3,2.35,2:52
2019-08-28,Matt,es,3,2.78,1:16
2019-08-28,Megan,es,3,2.45,4:40
2019-08-28,Yu,es,3,2.3,3:50
2019-08-28,Coralie,es,4,2.55,2:52
2019-08-28,Ed,es,4,2.47,2:52
2019-08-28,Matt,es,4,2.94,1:16
2019-08-28,Megan,es,4,2.5,4:40
2019-08-28,Yu,es,4,2.35,3:50
2019-08-28,Coralie,es,5,2.5,2:52
2019-08-28,Ed,es,5,2.38,2:52
2019-08-28,Matt,es,5,3.05,1:16
2019-08-28,Megan,es,5,2.5,4:40
2019-08-28,Yu,es,5,2.6,3:50
2019-09-18,Bethany,sb,2,0.85,1:10
2019-09-18,Ed,sb,2,0.73,1:52
2019-09-18,Matt,sb,2,0.83,0:34
